time,posS1,posS2,posS3,posE0,posE1,velS1,velS2,velS3,velE0,velE1,tau0,tau1,tau2,tau3,tau4
5.961e-06,0.11272978427868348,0.002801608825003877,-2.3953518771353695,-0.45745079694771373,0.034906585039886577,18911.220311807327,-18122.261143539075,0.0,0.0,-2.3280972668704005e-12,-378146.9521930023,-543773.1481848656,159.06839767057042,306.50969828824856,-93.01868299209254
0.010083914000000001,0.11272978427868348,0.002801608825003877,-2.3953518771353695,-0.45745079694771373,0.034906585039886577,0.0,0.0,0.0,0.0,0.0,77.45404314426331,-105.3138786934156,159.06839767057042,306.50969828824856,-93.01868299202269
0.020070076,0.11273541296552116,0.0031899882168039146,-2.3951373776369631,-0.4561398265182976,0.034910411038020527,0.00056364866078455244,0.038891757594162565,0.021479673412703584,0.13127870641555145,0.00038312998867327206,77.44164443368008,-104.08261427498448,158.38083887637745,302.34408398597793,-93.00642389273571
0.030109882999999997,0.11274104165235883,0.0043551263922040288,-2.3940153802606812,-0.45257525435372192,0.034979279004431547,0.00056063695623606992,0.11605184994095148,0.11175487499729186,0.35504389323177971,0.0068594910650195658,77.44057893040352,-101.57451453741223,155.44738145594246,295.0130610671672,-92.79835946716311
0.040107012,0.11278607114706028,0.0070343813269405243,-2.3925963835789124,-0.44682441126153977,0.035071102959646237,0.0045042426382062746,0.26800243697330456,0.14194041927125414,0.57524946333914029,0.0091850325443124606,77.35270091782382,-96.5761278514605,154.25619135946746,287.40852936206863,-92.71022843174138
0.05006408699999999,0.11285361538911247,0.0098374673721060169,-2.3908143877459938,-0.43569106420084835,0.03525857686820956,0.006783542561664602,0.2815170163090559,0.17896780258445413,1.1181342975413375,0.018828210951843019,77.29360607094422,-95.70238670765713,152.78717503713216,269.19295916547577,-92.3834382978028
0.06008195899999999,0.11298307518637912,0.013287852403604907,-2.3878938945753774,-0.42502507215729007,0.035400138799165544,0.01292288394847268,0.34442295045283972,0.29152829768800981,1.0646963789873019,0.014130938282699589,77.14492728375473,-93.24302484632494,148.82410215879872,268.9469785560297,-92.49604409168592
0.07008290299999999,0.11298307518637912,0.013287852403604907,-2.3853529005173266,-0.41293721188364002,0.035553178724523356,0.0,0.0,0.25407542108532449,1.2086719287349328,0.015302547975252323,77.40338496272418,-103.55526717978756,149.4397028147082,262.53826978864873,-92.43028781583776
0.08009505299999999,0.11355720124382268,0.023183083864249356,-2.3825149071537894,-0.39407270386155779,0.035824824592033476,0.057342934079449279,0.98832233442811479,0.28345493860331533,1.8841615459299179,0.027131621830487979,76.14170106964649,-72.28675810078879,147.98491087251102,238.99758329653602,-92.02108642667866
0.09006190299999998,0.11393432326194736,0.02779297838431068,-2.3783899167998115,-0.37830541298691794,0.03605821047820415,0.037837633567744673,0.46252271480571333,0.41387101782187485,1.581973329049785,0.023416213364370306,76.45638267625564,-87.29407722989548,143.24514878362396,245.33105800206224,-92.08587150342807
0.10009908699999999,0.11504317456897066,0.03349483815088225,-2.3750569245937969,-0.36147667173438219,0.036322204349446378,0.11047434290566992,0.56807365159108081,0.3320644720685178,1.6766397081627429,0.026301587301999073,74.78187822809247,-83.18463134798093,145.03010906592553,239.57392241648617,-91.94651151105076
0.110069037,0.11640531678368962,0.037187256716401454,-2.3715589327736235,-0.33621969763049414,0.036616806205760175,0.13662477893258859,0.37035477264371475,0.35085349677515004,2.5333100069597192,0.029548980317232899,73.98644106461032,-88.48247356946177,143.76607717662768,209.50359760232016,-91.79016934933097
0.120100022,0.11781248849311006,0.040688299929439481,-2.3666419442716817,-0.31585014802781325,0.036666544181501462,0.14028250559844699,0.34902287392893394,0.49018002737934285,2.0306629511140626,0.0049584338667924902,73.63185218940905,-88.52635680211353,138.60217353678115,221.05811917436617,-92.51793814769593
0.130088091,0.11969246989689573,0.045202506773260216,-2.362830453184606,-0.29496967641487642,0.036681848174037253,0.18822270889254714,0.45195991775995292,0.38160440091830361,2.0905413862215831,0.0015322273540351893,72.29705184276992,-84.67955280124774,141.09623460341643,215.647246235965,-92.61766354457149
0.140121937,0.12093078100118571,0.048782351602025792,-2.3589199623290344,-0.26647290227696296,0.036685674172171195,0.12341340541702267,0.35677693566012231,0.38973000538094782,2.8400649300291692,0.00038130923416031308,73.34557569142241,-86.9142554774106,140.0707731514161,188.23303311860863,-92.65142588854096
0.150113106,0.12206214705555973,0.052750575822591392,-2.3536069747531103,-0.24469336635140537,0.036697152166573037,0.11323660468299834,0.39717316567917127,0.53176836223310142,2.1798786433857331,0.0011488139577902686,73.32283849522808,-85.02940112044259,134.74702387291447,204.27045535153064,-92.62610514795169
0.16010499,0.12345806139130482,0.058942131344041276,-2.3495314842833803,-0.22249400303757558,0.03669332616843908,0.13970481800480097,0.61965846695677063,0.40788008244791396,2.2217394951572493,-0.00038291058362531017,72.51429136164302,-77.3253697471572,137.64811009927269,199.17062542436508,-92.67282208382093
0.170105935,0.12454439795097737,0.064396328889754856,-2.3454394938522336,-0.19231791934657305,0.036689500170305138,0.10862339105680029,0.54536821727482543,0.40916037745900202,3.0173232320548231,-0.00038256366112827543,72.91865258866851,-78.63037519275062,136.79239144698536,170.0828428438001,-92.67357687577282
0.18013310500000002,0.12578833774210502,0.070503454108639507,-2.3398955068164868,-0.16950465749328858,0.036704804162840922,0.12405691647071397,0.60905771208473092,0.55289648382811574,2.2751446174029635,0.0015262524257376668,72.36119412216472,-75.70269373298345,131.3721029550773,188.39909216421955,-92.61325159465969
0.19009900100000002,0.12807358459820381,0.07947558092790416,-2.3356385167711817,-0.14662010419671259,0.036689500170305138,0.22930671322466076,0.90028300709385822,0.42715577659099685,2.2962865854285441,-0.001535636387915744,69.79914881586602,-65.4900641540759,134.29332742017044,183.79900023067722,-92.70816905757646
0.200113058,0.13032505933327651,0.086894190179968661,-2.3313320268416282,-0.1160479569318683,0.036678022175903303,0.22483142796897407,0.74081955515776488,0.4300444794306158,3.0529232322967896,-0.0011461882433697454,69.4383595739652,-69.03520476534776,133.34793121036887,155.80921678024845,-92.69878121212042
0.21010589600000001,0.13333077810459854,0.09471806488434624,-2.325540540384643,-0.093096072827739212,0.036666544181501462,0.3007873009971766,0.78294821795145464,0.57956372924140664,2.2968334024957762,-0.0011486220833202179,67.31809835913675,-66.47960775739041,127.7061174550667,174.51703103606053,-92.70114982619931
0.220112086,0.13902700918433242,0.10552514361269512,-2.3211515506480103,-0.070140228087871695,0.036658892185233577,0.5692707293918946,1.0800393284905523,0.43862746326351082,2.2941643862316745,-0.00076472626123280109,60.80918357529563,-55.797254881813,131.05877394788462,170.61683681164234,-92.69116335079028
0.23010802300000002,0.14458815177996195,0.11413703447434816,-2.3167460609499613,-0.039445301115136472,0.036651240188965685,0.55634030062709849,0.86153912951362521,0.44072803760657875,3.0707403390732879,-0.0007655106537678239,59.95556363146563,-60.92258948286988,130.1196049323757,142.0066379873869,-92.6927172818199
0.24009895400000003,0.1507290491198727,0.12279958351754029,-2.3108885746473122,-0.016441928746407947,0.036643588192697793,0.61464715749820964,0.86704122400526396,0.58628032789427131,2.3024253063832116,-0.00076589421625391878,57.56124702606126,-59.331968693748045,124.58580391855071,161.07170726333658,-92.69425918794806
